Date,Open,High,Low,Close,Adj Close,Volume
2023-04-05,756.859985,757.880005,753.270020,755.760010,755.760010,57300
2023-04-06,757.450012,760.969971,756.719971,759.840027,759.840027,62200
2023-04-11,764.750000,765.760010,762.570007,763.320007,763.320007,58900
2023-04-12,761.770020,769.140015,758.229980,759.539978,759.539978,62400
2023-04-13,758.349976,761.020020,757.020020,760.570007,760.570007,53700
2023-04-14,760.059998,763.510010,758.549988,761.400024,761.400024,69900
2023-04-17,761.179993,763.359985,758.280029,758.500000,758.500000,68065500
2023-04-18,759.270020,765.159973,758.989990,763.150024,763.150024,59000
2023-04-19,759.989990,761.159973,758.830017,760.219971,760.219971,59100
2023-04-20,761.690002,761.979980,756.419983,761.099976,761.099976,56400
2023-04-21,760.539978,763.400024,758.650024,762.190002,762.190002,74432600
2023-04-24,759.349976,764.640015,759.270020,762.489990,762.489990,59800
2023-04-25,758.190002,758.469971,754.450012,755.450012,755.450012,66700
2023-04-26,750.380005,751.179993,745.260010,749.599976,749.599976,71300
2023-04-27,747.179993,752.650024,746.400024,752.599976,752.599976,65900
2023-04-28,754.520020,758.940002,748.450012,758.489990,758.489990,78900
2023-05-02,758.739990,759.909973,743.549988,744.309998,744.309998,71900
2023-05-03,748.049988,748.500000,743.099976,744.239990,744.239990,51700
2023-05-04,744.520020,744.820007,735.909973,741.219971,741.219971,69400
2023-05-05,745.159973,750.950012,743.590027,750.479980,750.479980,62869300
2023-05-08,751.890015,754.830017,751.219971,752.679993,752.679993,36400
2023-05-09,751.580017,751.929993,744.739990,748.380005,748.380005,62100
2023-05-10,748.030029,751.150024,745.330017,748.289978,748.289978,70000
2023-05-11,750.309998,755.750000,747.140015,751.119995,751.119995,70200
2023-05-12,753.289978,755.869995,751.950012,752.989990,752.989990,60300
2023-05-15,756.000000,757.840027,753.460022,756.179993,756.179993,52700
2023-05-16,755.320007,759.289978,754.609985,756.219971,756.219971,60000
2023-05-17,754.890015,759.039978,753.820007,758.280029,758.280029,74300
