Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
XSEP,163,0,0.00,0,0.00,36.70,163,0
GHYG,159,0,0.00,0,0.00,43.13,159,0
PEX,159,0,0.00,0,0.00,29.00,159,0
PSFD,156,0,0.00,0,0.00,29.72,156,0
EFAD,150,0,0.00,0,0.00,37.05,150,0
GDMN,150,0,0.00,0,0.00,29.17,150,0
FFLV,149,0,0.00,0,0.00,20.34,149,0
LEAD,145,0,0.00,0,0.00,61.41,145,0
GOCT,144,0,0.00,0,0.00,33.08,144,0
HYXU,144,0,0.00,0,0.00,47.72,144,0
BSMC,141,0,0.00,0,0.00,28.23,141,0
GLOV,133,0,0.00,0,0.00,44.87,133,0
BCHP,131,0,0.00,0,0.00,29.84,131,0
NXTV,129,0,0.00,0,0.00,24.94,129,0
LKOR,122,0,0.00,0,0.00,41.80,122,0
MAGA,121,0,0.00,0,0.00,43.92,121,0
MSFY,118,0,0.00,0,0.00,27.05,118,0
DFND,115,0,0.00,0,0.00,38.07,115,0
BMAY,114,0,0.00,0,0.00,35.39,114,0
EUDV,114,0,0.00,0,0.00,46.50,114,0
ISVL,111,0,0.00,0,0.00,34.15,110,1
BAMU,110,0,0.00,0,0.00,25.34,110,0
DNOV,109,0,0.00,0,0.00,39.60,109,0
DOGG,107,0,0.00,0,0.00,20.33,107,0
MPRO,107,0,0.00,0,0.00,26.82,107,0
IVRA,105,0,0.00,0,0.00,13.41,105,0
TMDV,102,0,0.00,0,0.00,46.08,102,0
MYLD,101,0,0.00,0,0.00,25.49,101,0
DSEP,100,0,0.00,0,0.00,37.41,100,0
GSID,100,0,0.00,0,0.00,54.22,100,0
KNOW,100,0,0.00,0,0.00,10.13,100,0
LQDI,100,0,0.00,0,0.00,25.48,100,0
NUDV,100,0,0.00,0,0.00,25.83,100,0
OCTH,100,0,0.00,0,0.00,24.12,100,0
PSMR,100,0,0.00,0,0.00,24.77,100,0
QTOC,100,0,0.00,0,0.00,26.22,100,0
XJUN,100,0,0.00,0,0.00,36.07,100,0
XOCT,100,0,0.00,0,0.00,32.66,100,0
XTOC,100,0,0.00,0,0.00,27.46,100,0
XVOL,100,0,0.00,0,0.00,19.50,100,0
VAMO,79,0,0.00,0,0.00,28.62,79,0
BMAR,78,0,0.00,0,0.00,40.12,78,0
MARZ,78,0,0.00,0,0.00,28.85,78,0
GDEC,74,0,0.00,0,0.00,30.97,74,0
UMAY,73,0,0.00,0,0.00,30.32,73,0
TFJL,70,0,0.00,0,0.00,19.63,70,0
ADME,58,0,0.00,0,0.00,40.02,58,0
EMTL,58,0,0.00,0,0.00,41.75,58,0
NOVZ,56,0,0.00,0,0.00,36.12,56,0
HAUS,55,0,0.00,0,0.00,16.34,55,0
EVUS,54,0,0.00,0,0.00,26.42,54,0
ROMO,54,0,0.00,0,0.00,27.47,54,0
JULH,53,0,0.00,0,0.00,24.95,53,0
SNPG,52,0,0.00,0,0.00,35.95,52,0
GDMA,49,0,0.00,0,0.00,30.23,49,0
SAUG,49,0,0.00,0,0.00,20.90,49,0
XUSP,47,0,0.00,0,0.00,32.47,47,0
BAMY,45,0,0.00,0,0.00,25.96,39,6
DJAN,45,0,0.00,0,0.00,35.16,45,0
YSEP,40,0,0.00,0,0.00,20.76,40,0
TTAC,38,0,0.00,0,0.00,57.05,38,0
BBEM,36,0,0.00,0,0.00,48.94,36,0
GEMD,36,0,0.00,0,0.00,39.83,36,0
GOOP,33,0,0.00,0,0.00,28.20,33,0
JANQ,27,0,0.00,0,0.00,24.56,27,0
APRH,26,0,0.00,0,0.00,24.18,26,0
MSTB,23,0,0.00,0,0.00,30.15,23,0
GPOW,22,0,0.00,0,0.00,42.98,22,0
QTJA,22,0,0.00,0,0.00,21.60,22,0
FDND,20,0,0.00,0,0.00,19.24,20,0
FEBP,20,0,0.00,0,0.00,25.40,20,0
IWMW,18,0,0.00,0,0.00,46.85,17,1
APRQ,17,0,0.00,0,0.00,24.44,17,0
ESGG,17,0,0.00,0,0.00,154.49,17,0
DWAT,16,0,0.00,0,0.00,10.27,16,0
FLDZ,14,0,0.00,0,0.00,24.89,14,0
XDSQ,14,0,0.00,0,0.00,29.54,14,0
WFIG,13,0,0.00,0,0.00,43.30,13,0
UFEB,12,0,0.00,0,0.00,30.12,12,0
BLKC,11,0,0.00,0,0.00,18.09,11,0
HYHG,11,0,0.00,0,0.00,63.67,11,0
RVRB,11,0,0.00,0,0.00,25.89,11,0
HIYS,10,0,0.00,0,0.00,25.15,10,0
NXTI,10,0,0.00,0,0.00,25.01,10,0
XISE,10,0,0.00,0,0.00,30.45,10,0
XJUL,10,0,0.00,0,0.00,33.04,10,0
AJAN,9,0,0.00,0,0.00,24.53,9,0
BBIB,7,0,0.00,0,0.00,94.97,7,0
FAIL,7,0,0.00,0,0.00,16.86,7,0
TYA,7,0,0.00,0,0.00,12.38,7,0
EAOM,6,0,0.00,0,0.00,25.91,6,0
MVAL,6,0,0.00,0,0.00,29.13,6,0
GOLY,5,0,0.00,0,0.00,22.48,5,0
HFGO,5,0,0.00,0,0.00,18.47,5,0
XBOC,5,0,0.00,0,0.00,28.48,5,0
BKGI,4,0,0.00,0,0.00,27.92,4,0
ARKC,3,0,0.00,0,0.00,40.08,3,0
BAMV,3,0,0.00,0,0.00,29.03,3,0
MOTG,3,0,0.00,0,0.00,34.45,3,0
ROYA,3,0,0.00,0,0.00,26.15,3,0
TRTY,3,0,0.00,0,0.00,25.38,3,0
TUSI,3,0,0.00,0,0.00,25.26,3,0
WBAT,3,0,0.00,0,0.00,27.14,3,0
BBSA,2,0,0.00,0,0.00,47.01,2,0
HEAT,2,0,0.00,0,0.00,24.00,2,0
PSMO,2,0,0.00,0,0.00,25.86,2,0
SNPD,2,0,0.00,0,0.00,25.58,2,0
TDVI,2,0,0.00,0,0.00,21.28,2,0
BEMB,1,0,0.00,0,0.00,51.18,1,0
BWTG,1,0,0.00,0,0.00,29.76,1,0
CMCI,1,0,0.00,0,0.00,25.94,1,0
IPDP,1,0,0.00,0,0.00,17.31,1,0
IVVB,1,0,0.00,0,0.00,26.70,1,0
JANZ,1,0,0.00,0,0.00,30.84,1,0
JULJ,1,0,0.00,0,0.00,24.94,1,0
JULQ,1,0,0.00,0,0.00,24.90,1,0
LJAN,1,0,0.00,0,0.00,24.55,1,0
MSTQ,1,0,0.00,0,0.00,29.18,1,0
OCTD,1,0,0.00,0,0.00,24.26,1,0
PWS,1,0,0.00,0,0.00,27.64,1,0
TOLL,1,0,0.00,0,0.00,29.67,1,0
ACSI,0,0,0.00,0,0.00,0.00,0,0
APRP,0,0,0.00,0,0.00,0.00,0,0
APRZ,0,0,0.00,0,0.00,0.00,0,0
ARCM,0,0,0.00,0,0.00,0.00,0,0
ARLU,0,0,0.00,0,0.00,0.00,0,0
BAMA,0,0,0.00,0,0.00,0.00,0,0
BBIP,0,0,0.00,0,0.00,0.00,0,0
BBSB,0,0,0.00,0,0.00,0.00,0,0
BHYB,0,0,0.00,0,0.00,0.00,0,0
BUYZ,0,0,0.00,0,0.00,0.00,0,0
CFCV,0,0,0.00,0,0.00,0.00,0,0
CVAR,0,0,0.00,0,0.00,0.00,0,0
DFHY,0,0,0.00,0,0.00,0.00,0,0
DFNV,0,0,0.00,0,0.00,0.00,0,0
DFRA,0,0,0.00,0,0.00,0.00,0,0
DJUN,0,0,0.00,0,0.00,0.00,0,0
DWCR,0,0,0.00,0,0.00,0.00,0,0
EAOK,0,0,0.00,0,0.00,0.00,0,0
EGUS,0,0,0.00,0,0.00,0.00,0,0
EMDV,0,0,0.00,0,0.00,0.00,0,0
FDCE,0,0,0.00,0,0.00,0.00,0,0
FDGR,0,0,0.00,0,0.00,0.00,0,0
FDTB,0,0,0.00,0,0.00,0.00,0,0
FEBZ,0,0,0.00,0,0.00,0.00,0,0
FHEQ,0,0,0.00,0,0.00,0.00,0,0
FPAG,0,0,0.00,0,0.00,0.00,0,0
GCLN,0,0,0.00,0,0.00,0.00,0,0
GHMS,0,0,0.00,0,0.00,0.00,0,0
GMAY,0,0,0.00,0,0.00,0.00,0,0
GSEE,0,0,0.00,0,0.00,0.00,0,0
HAPR,0,0,0.00,0,0.00,0.00,0,0
HJAN,0,0,0.00,0,0.00,0.00,0,0
HSUN,0,0,0.00,0,0.00,0.00,0,0
HYKE,0,0,0.00,0,0.00,0.00,0,0
IMSI,0,0,0.00,0,0.00,0.00,0,0
IVVM,0,0,0.00,0,0.00,0.00,0,0
JAND,0,0,0.00,0,0.00,0.00,0,0
JANH,0,0,0.00,0,0.00,0.00,0,0
JANP,0,0,0.00,0,0.00,0.00,0,0
JULZ,0,0,0.00,0,0.00,0.00,0,0
JUNZ,0,0,0.00,0,0.00,0.00,0,0
LAPR,0,0,0.00,0,0.00,0.00,0,0
LBO,0,0,0.00,0,0.00,0.00,0,0
LCF,0,0,0.00,0,0.00,0.00,0,0
MAYZ,0,0,0.00,0,0.00,0.00,0,0
MBBB,0,0,0.00,0,0.00,0.00,0,0
MBND,0,0,0.00,0,0.00,0.00,0,0
MBNE,0,0,0.00,0,0.00,0.00,0,0
MDEV,0,0,0.00,0,0.00,0.00,0,0
MDLV,0,0,0.00,0,0.00,0.00,0,0
MDPL,0,0,0.00,0,0.00,0.00,0,0
MGRO,0,0,0.00,0,0.00,0.00,0,0
MIG,0,0,0.00,0,0.00,0.00,0,0
MOTE,0,0,0.00,0,0.00,0.00,0,0
MRCP,0,0,0.00,0,0.00,0.00,0,0
MRGR,0,0,0.00,0,0.00,0.00,0,0
MSVX,0,0,0.00,0,0.00,0.00,0,0
MVFG,0,0,0.00,0,0.00,0.00,0,0
OBND,0,0,0.00,0,0.00,0.00,0,0
OCTJ,0,0,0.00,0,0.00,0.00,0,0
OCTZ,0,0,0.00,0,0.00,0.00,0,0
PBFB,0,0,0.00,0,0.00,0.00,0,0
PBJA,0,0,0.00,0,0.00,0.00,0,0
PBL,0,0,0.00,0,0.00,0.00,0,0
PBMR,0,0,0.00,0,0.00,0.00,0,0
PIT,0,0,0.00,0,0.00,0.00,0,0
PJBF,0,0,0.00,0,0.00,0.00,0,0
PJFM,0,0,0.00,0,0.00,0.00,0,0
PSCJ,0,0,0.00,0,0.00,0.00,0,0
PSCQ,0,0,0.00,0,0.00,0.00,0,0
PSCW,0,0,0.00,0,0.00,0.00,0,0
PSCX,0,0,0.00,0,0.00,0.00,0,0
PSDM,0,0,0.00,0,0.00,0.00,0,0
PSFJ,0,0,0.00,0,0.00,0.00,0,0
PSFM,0,0,0.00,0,0.00,0.00,0,0
PSFO,0,0,0.00,0,0.00,0.00,0,0
PSH,0,0,0.00,0,0.00,0.00,0,0
PSMJ,0,0,0.00,0,0.00,0.00,0,0
PUTD,0,0,0.00,0,0.00,0.00,0,0
QTAP,0,0,0.00,0,0.00,0.00,0,0
RMIF,0,0,0.00,0,0.00,0.00,0,0
RODE,0,0,0.00,0,0.00,0.00,0,0
ROIS,0,0,0.00,0,0.00,0.00,0,0
RYSE,0,0,0.00,0,0.00,0.00,0,0
SCLZ,0,0,0.00,0,0.00,0.00,0,0
SEPZ,0,0,0.00,0,0.00,0.00,0,0
SFIG,0,0,0.00,0,0.00,0.00,0,0
SMI,0,0,0.00,0,0.00,0.00,0,0
SNOV,0,0,0.00,0,0.00,0.00,0,0
SNPV,0,0,0.00,0,0.00,0.00,0,0
SPCZ,0,0,0.00,0,0.00,0.00,0,0
SPMV,0,0,0.00,0,0.00,0.00,0,0
STBF,0,0,0.00,0,0.00,0.00,0,0
TBJL,0,0,0.00,0,0.00,0.00,0,0
TSLH,0,0,0.00,0,0.00,0.00,0,0
VHAI+A,0,0,0.00,0,0.00,0.00,0,0
VHAI+B,0,0,0.00,0,0.00,0.00,0,0
VIRS,0,0,0.00,0,0.00,0.00,0,0
VMAX,0,0,0.00,0,0.00,0.00,0,0
WLDR,0,0,0.00,0,0.00,0.00,0,0
XAUG,0,0,0.00,0,0.00,0.00,0,0
XBJL,0,0,0.00,0,0.00,0.00,0,0
XDJA,0,0,0.00,0,0.00,0.00,0,0
XDJL,0,0,0.00,0,0.00,0.00,0,0
XDOC,0,0,0.00,0,0.00,0.00,0,0
XDQQ,0,0,0.00,0,0.00,0.00,0,0
XEMD,0,0,0.00,0,0.00,0.00,0,0
XIDE,0,0,0.00,0,0.00,0.00,0,0
XNOV,0,0,0.00,0,0.00,0.00,0,0
XTAP,0,0,0.00,0,0.00,0.00,0,0
XTJA,0,0,0.00,0,0.00,0.00,0,0
XTJL,0,0,0.00,0,0.00,0.00,0,0
